fragment_ID,SA
POC_1,6.98021978
POC_2,3.683516484
POC_3,3.958241758
POC_4,4.582417582
POC_5,5.659340659
POC_6,8.226373626
POC_7,6.096703297
POC_8,11.14505495
POC_9,3.591208791
POC_10,4.024175824
POR_11,4.323076923
POR_12,5.802197802
POR_13,6.485714286
POR_14,3.426373626
POR_15,3.778021978
POR_16,11.12527473
POR_17,3.78021978
POR_18,7.553846154
POR_19,6.459340659
POR_20,4.841758242
POC_21,7.628571429
POC_22,7.116483516
POC_23,6.61978022
POC_24,3.584615385
POC_25,3.373626374
POC_26,3.887912088
POC_27,4.938461538
POC_28,6.606593407
POC_29,6.325274725
POC_30,7.008791209
POR_31,3.345054945
POR_32,4.065934066
POR_33,3.4
POR_34,7.483516484
POR_35,7.296703297
POR_36,8.030769231
POR_37,2.887912088
POR_38,3.437362637
POR_39,7.050549451
POR_40,3.567032967
